clip_id,url
AbstruseStupidFriseeYouDontSay-V-AZ0l9mSJVx0uJV,https://www.twitch.tv/sniper_biscuit/clip/AbstruseStupidFriseeYouDontSay-V-AZ0l9mSJVx0uJV
BoringOddPanEagleEye-yOYHcDg_njUck3es,https://www.twitch.tv/sniper_biscuit/clip/BoringOddPanEagleEye-yOYHcDg_njUck3es
WealthyShakingHummingbirdArsonNoSexy-73g72QxtOV6MEqfO,https://www.twitch.tv/sniper_biscuit/clip/WealthyShakingHummingbirdArsonNoSexy-73g72QxtOV6MEqfO
TalentedWildAuberginePunchTrees-lazN_CDgUuSdqSDW,https://www.twitch.tv/sniper_biscuit/clip/TalentedWildAuberginePunchTrees-lazN_CDgUuSdqSDW
BrightCourageousDaikonDuDudu-p6rmYSPtl4BEDKO4,https://www.twitch.tv/sniper_biscuit/clip/BrightCourageousDaikonDuDudu-p6rmYSPtl4BEDKO4
TiredAggressiveAntelopePlanking-mYMm7wF37DYDoK5X,https://www.twitch.tv/sniper_biscuit/clip/TiredAggressiveAntelopePlanking-mYMm7wF37DYDoK5X
AntediluvianSpinelessPresidentFutureMan-1cg4m6iU-q_8Zhmo,https://www.twitch.tv/sniper_biscuit/clip/AntediluvianSpinelessPresidentFutureMan-1cg4m6iU-q_8Zhmo
AliveScaryPeppermintWholeWheat-9w3ACacM6YJKYLjS,https://www.twitch.tv/sniper_biscuit/clip/AliveScaryPeppermintWholeWheat-9w3ACacM6YJKYLjS
SparklyShinyDragonflyNotATK-H9xnbPeBN0AcmSAY,https://www.twitch.tv/sniper_biscuit/clip/SparklyShinyDragonflyNotATK-H9xnbPeBN0AcmSAY
AthleticAstuteSlothPastaThat-7M9XjVZsYjG10UPU,https://www.twitch.tv/sniper_biscuit/clip/AthleticAstuteSlothPastaThat-7M9XjVZsYjG10UPU
NaiveTalentedJamSquadGoals-EeYLxAf1fHrGPl2x,https://www.twitch.tv/sniper_biscuit/clip/NaiveTalentedJamSquadGoals-EeYLxAf1fHrGPl2x
